PolicyID,PolicyType,Title,Description,EffectiveDate,LastUpdated
POL1,Exams,Make-up Exam Procedures,"The Make-up Exam Procedures sets rules for exam schedules, grading standards, and retake opportunities. Misconduct, such as cheating, results in disciplinary actions.",2020-11-20,2021-02-18
POL2,Admissions,International Student Guidelines,"The International Student Guidelines outlines eligibility criteria, required documents, and application deadlines. Students must provide official transcripts, standardized test scores (if applicable), and recommendation letters. Exceptions may apply for transfer or international students.",2021-10-09,2022-09-09
POL3,Scholarships,Sports Scholarships,"The Sports Scholarships explains eligibility, application procedures, and renewal requirements. Students must maintain a minimum GPA and comply with conduct regulations to remain eligible.",2021-06-10,2022-04-22
POL4,Tuition,Graduate Tuition Fees,"The Graduate Tuition Fees provides detailed information about tuition costs, due dates, and payment methods. Students may request installment plans, and refunds are available under specific conditions for withdrawals.",2020-08-10,2020-12-08
POL5,Admissions,International Student Guidelines,"The International Student Guidelines outlines eligibility criteria, required documents, and application deadlines. Students must provide official transcripts, standardized test scores (if applicable), and recommendation letters. Exceptions may apply for transfer or international students.",2022-05-12,2022-10-10
POL6,Exams,Final Exam Schedule Policy,"The Final Exam Schedule Policy sets rules for exam schedules, grading standards, and retake opportunities. Misconduct, such as cheating, results in disciplinary actions.",2020-03-23,2020-05-07
POL7,Attendance,Leave of Absence Policy,The Leave of Absence Policy defines expectations for class participation and acceptable documentation for absences. Excessive unexcused absences may impact grades or enrollment status.,2020-06-21,2021-01-15
POL8,Tuition,Installment Plans,"The Installment Plans provides detailed information about tuition costs, due dates, and payment methods. Students may request installment plans, and refunds are available under specific conditions for withdrawals.",2022-02-13,2022-12-22
POL9,Scholarships,Scholarship Renewal Conditions,"The Scholarship Renewal Conditions explains eligibility, application procedures, and renewal requirements. Students must maintain a minimum GPA and comply with conduct regulations to remain eligible.",2022-03-15,2022-09-28
POL10,Scholarships,Scholarship Renewal Conditions,"The Scholarship Renewal Conditions explains eligibility, application procedures, and renewal requirements. Students must maintain a minimum GPA and comply with conduct regulations to remain eligible.",2021-09-30,2022-08-30
POL11,Scholarships,Scholarship Renewal Conditions,"The Scholarship Renewal Conditions explains eligibility, application procedures, and renewal requirements. Students must maintain a minimum GPA and comply with conduct regulations to remain eligible.",2021-04-18,2022-04-10
POL12,Tuition,Installment Plans,"The Installment Plans provides detailed information about tuition costs, due dates, and payment methods. Students may request installment plans, and refunds are available under specific conditions for withdrawals.",2020-07-14,2020-11-12
POL13,Tuition,Installment Plans,"The Installment Plans provides detailed information about tuition costs, due dates, and payment methods. Students may request installment plans, and refunds are available under specific conditions for withdrawals.",2022-03-24,2022-07-21
POL14,Tuition,Payment Deadlines,"The Payment Deadlines provides detailed information about tuition costs, due dates, and payment methods. Students may request installment plans, and refunds are available under specific conditions for withdrawals.",2021-03-19,2021-12-16
POL15,Scholarships,Sports Scholarships,"The Sports Scholarships explains eligibility, application procedures, and renewal requirements. Students must maintain a minimum GPA and comply with conduct regulations to remain eligible.",2021-04-28,2022-02-03
POL16,Exams,Exam Retake Rules,"The Exam Retake Rules sets rules for exam schedules, grading standards, and retake opportunities. Misconduct, such as cheating, results in disciplinary actions.",2022-08-07,2023-06-19
POL17,Tuition,Graduate Tuition Fees,"The Graduate Tuition Fees provides detailed information about tuition costs, due dates, and payment methods. Students may request installment plans, and refunds are available under specific conditions for withdrawals.",2020-07-30,2021-05-13
POL18,Scholarships,Scholarship Renewal Conditions,"The Scholarship Renewal Conditions explains eligibility, application procedures, and renewal requirements. Students must maintain a minimum GPA and comply with conduct regulations to remain eligible.",2022-05-16,2022-12-29
POL19,Attendance,Leave of Absence Policy,The Leave of Absence Policy defines expectations for class participation and acceptable documentation for absences. Excessive unexcused absences may impact grades or enrollment status.,2020-08-26,2021-01-29
POL20,Graduation,Graduation Application Deadlines,"The Graduation Application Deadlines specifies credit requirements, capstone/thesis submissions, deadlines, and fee structures. Students must meet academic and administrative obligations before graduation.",2021-01-20,2021-09-25
POL21,Exams,Make-up Exam Procedures,"The Make-up Exam Procedures sets rules for exam schedules, grading standards, and retake opportunities. Misconduct, such as cheating, results in disciplinary actions.",2020-03-09,2020-12-09
POL22,Scholarships,Sports Scholarships,"The Sports Scholarships explains eligibility, application procedures, and renewal requirements. Students must maintain a minimum GPA and comply with conduct regulations to remain eligible.",2022-02-18,2022-08-05
POL23,Scholarships,International Student Scholarships,"The International Student Scholarships explains eligibility, application procedures, and renewal requirements. Students must maintain a minimum GPA and comply with conduct regulations to remain eligible.",2020-12-22,2021-06-17
POL24,Scholarships,International Student Scholarships,"The International Student Scholarships explains eligibility, application procedures, and renewal requirements. Students must maintain a minimum GPA and comply with conduct regulations to remain eligible.",2021-08-10,2022-01-27
POL25,Graduation,Commencement Ceremony Guidelines,"The Commencement Ceremony Guidelines specifies credit requirements, capstone/thesis submissions, deadlines, and fee structures. Students must meet academic and administrative obligations before graduation.",2020-07-15,2021-04-22
POL26,Exams,Grading Scale and GPA Calculation,"The Grading Scale and GPA Calculation sets rules for exam schedules, grading standards, and retake opportunities. Misconduct, such as cheating, results in disciplinary actions.",2021-05-29,2021-07-13
POL27,Admissions,Undergraduate Application Requirements,"The Undergraduate Application Requirements outlines eligibility criteria, required documents, and application deadlines. Students must provide official transcripts, standardized test scores (if applicable), and recommendation letters. Exceptions may apply for transfer or international students.",2021-09-01,2022-07-05
POL28,Tuition,Refund Policy on Withdrawal,"The Refund Policy on Withdrawal provides detailed information about tuition costs, due dates, and payment methods. Students may request installment plans, and refunds are available under specific conditions for withdrawals.",2021-01-19,2021-12-06
POL29,Admissions,Transfer Student Policy,"The Transfer Student Policy outlines eligibility criteria, required documents, and application deadlines. Students must provide official transcripts, standardized test scores (if applicable), and recommendation letters. Exceptions may apply for transfer or international students.",2022-07-12,2023-03-20
POL30,Attendance,Excused Absence Documentation,The Excused Absence Documentation defines expectations for class participation and acceptable documentation for absences. Excessive unexcused absences may impact grades or enrollment status.,2020-11-12,2021-03-14
POL31,Attendance,Leave of Absence Policy,The Leave of Absence Policy defines expectations for class participation and acceptable documentation for absences. Excessive unexcused absences may impact grades or enrollment status.,2021-01-25,2021-08-09
POL32,Admissions,Undergraduate Application Requirements,"The Undergraduate Application Requirements outlines eligibility criteria, required documents, and application deadlines. Students must provide official transcripts, standardized test scores (if applicable), and recommendation letters. Exceptions may apply for transfer or international students.",2020-07-03,2021-06-09
